郑重	审慎,庄严,把稳,认真,隆重,谨慎,慎重,庄重
卸磨杀驴	得鱼忘筌,过河拆桥
陈词滥调	老生常谈
告诫	劝诫,申饬,劝告,警告,警戒
漠然	淡然
吵嘴	口舌,口角
都雅	雅观,好看
正是	恰是
访拿	缉捕,搜捕,跴缉,踩缉
书柜	书橱,书厨
天下大乱	天灾人祸
完稿	脱稿
用饭	吃饭,用膳
书柬	书函,书简
雄厚	富厚,丰富,健壮,厚实
患了	得了
例如	比如,譬喻,比方
向慕	敬仰,仰慕,景仰,瞻仰
捉弄	戏弄,作弄,簸弄,玩弄,侮弄,嘲弄,嘲谑,愚弄,欺骗,调侃
老蚌生珠	老年得子
了债	清偿
陵犯	侵占,侵吞,侵害,侵陵,侵扰进犯,侵略
文彩	文采
一去不返	断线风筝
卷铺盖	炒鱿鱼
身心交瘁	身心交病
盘根错节	错综复杂,心如乱麻,千头万绪,蟠根错节
挺直	伸直,挺拔,笔直
才疏学浅	胸无点墨,目不识丁
长命	龟龄,长寿
昂贵	腾贵
转败为胜	化险为夷,逢凶化吉,转败为功,转危为安
草莽英雄	绿林好汉
储藏	储备,蕴藏,贮藏
目力眼光	眼力
筹画	筹划
不管	不论,无论,不论是谁
庶务	杂务,碎务,总务,琐事
弘大	宏大,远大
古迹	奇迹,事迹,名胜,遗迹
积年累月	年深月久,穷年累月,积土成山
秋景	秋天景色
阿姨	姨妈,大姨,姨娘
春光明媚	春暖花开
饱暖	温饱
铁石心肠	木人石心
妆扮	化装,化妆,修饰,打扮
岂论	不论
弄假成真	假戏真做
大肠告小肠	饥肠辘辘
扶危济困	仗义疏财,见义勇为
申明	说明,声名,声明
开通	开明,通达
确切的说	准确,凿凿,切实,实在,正确,真实,确凿,确实
亦步亦趋	马首是瞻,人云亦云
号泣	痛哭,悲啼,号哭
笑纳	哂纳
薄材	绵力
胡须	髯毛
太空	天外
抛戈弃甲	抱头鼠窜
微暇	寸
久远	长久,永远的痛,悠远,悠长,很久,悠久,永久,深远,长远,永远
顾全	保全
过河拆桥	得鱼忘筌,兔死狗烹,见利忘义,卸磨杀驴,忘恩负义,上树拔梯,恩将仇报,不知恩义
闹轰轰	闹哄哄
寻花问柳	拈花惹草,寻欢作乐
玩皮	顽皮
调整结构	调动,调理,调节
窃匪	扒手
宾朋迎门	高朋满座,宾客盈门,宾朋盈门
惊怖	哆嗦
惊怕	怕惧
当做	当作,当成
扩大	增添,增加,扩展,推广,扩充,扩张,伸张
戴德	感恩,感德
修补	修理,补缀
打斗	斗殴,打架
宁可	宁愿,宁肯,情愿
改革	改进,厘革,改造,变更,变革,改良,革新,鼎新,改变
歌乐	笙歌
余存	孑遗
风行	风靡,盛行,流行,通行
梗塞	堵塞,阻塞,壅闭,湮塞,阻滞,雍塞,窒息
要道	枢纽
孤独	孤寂,孤傲,寂寞,寂寥,零丁,伶仃,单独,孑立,孤单,孤立,孤苦,寥寂,落寞
娓娓而谈	滔滔不绝,侃侃而谈,口齿伶俐,大言不惭,喋喋不休,夸夸其谈
劳而无功	心劳日拙,吃力不讨好,枉用心机,徒劳无益,徒劳无功
喝茶	品茗
百姓	平民,国民,庶民,匹夫,黎民,人民,子民,苍生,公民
暖乎乎	暖呼呼
对抗	抗拒,反抗,对立,顽抗,抗衡,匹敌
对折	半数,折半
黑咕隆咚	黑鼓隆咚
深化	强化,深入
众人	大家,人人,大众,世人
微贱	卑微,寒微,低微
半数	对折,折半
遐迩	远近
番薯	甘薯
晨风	晓风
轨范	法度模范,标准,圭表,法式
穴见	肤见,浅见
不由自主	身不由己,鬼使神差,情不自禁,阴错阳差
瘟疫	疫疠
读书	念书
柔弱虚弱	薄弱
爆仗	炮竹,爆竹
良伴	佳偶,良俦
一石二鸟	两全其美,一举两得
不胜枚举	数不胜数,满坑满谷,不一而足,星罗棋布,恒河沙数,不计其数,擢发难数,不乏其人,不可胜数,举不胜举
熟行	内行
宴客	请客
穷山恶水	穷乡僻壤,不毛之地
打坏	打碎
刊登	刊载,登载
斑白	花白
云雾迷蒙	云雾弥漫
应付	塞责,将就,周旋,应酬,对付,对待,搪塞
召回	调回
不可企及	不可逾越,相形见绌
碎务	杂务,庶务,琐事
跌荡放诞	跌宕
绵力薄材	绵力,缚鸡之力
春兰秋菊	各有千秋
迫不得已	逼不得已,万不得已,出于无奈,必不得已,无可奈何
画情诗意	诗情画意
脱离	分离,摆脱,离开,脱节
宠儿	骄子
暗流	暗潮
创造	建立,创制,缔造,创作,发现,创设,兴办,创办,创建,制造,发明,独创,设立,成立
千人一面	千篇一律
招聘	任用,雇用,聘请
秘闻	底细,底蕴
跌交	跌跤
规定	规则,原则,章程,法则,规矩,规章,划定,轨则
绵联	绵连
施礼	行礼,见礼
深入浅出	深入显出
风刀雪剑	风刀霜剑
不祧之宗	不祧之祖
昏聩	昏庸,愚昧,昏暴
吃紧	危急,告急,急急
吃素	茹素,食斋
矢言	起誓,矢誓,立誓
毕命	归天,逝世,去逝,死亡,亡故,死灭,殒命,断命
人心涣散	一盘散沙
驱驰	驰驱,奔走
睡觉	就寝,寝息,睡眠
富丽堂皇	金碧辉煌,金碧堂皇
价值千金	价值连城,无价之宝
常规	向例,常例,惯例,旧例,老例,通例
绝代	旷世
见微知着	尝鼎一脔,一叶知秋
包罗万象	应有尽有,一应俱全,无所不包
十丈软红	花花世界
臃肿	痴肥,肥胖
文章	作品,著作
掩罪藏恶	文过饰非
絮絮叨叨	絮絮不休
失口	讲错,失言
暗箭难防	暗箭伤人
五谷丰登	六畜兴旺
照猫画虎	如法泡制,依样画葫芦,千篇一律,照本宣科,如法炮制
入狱	坐牢,下狱
恶魔	魔鬼,邪魔
盛装	艳服
满足	餍足,知足,满意
居忧	宅忧
衰老	苍老,朽迈,衰弱
内讧	内哄,内耗,内乱,内争
簇新	崭新
聪明一世懵懂一时	聪明一世
考验	磨练,检验
躲债	避债
罅隙	缝隙,破绽,裂缝,漏洞,缺陷
生气	发怒,不满,赌气,发火,动怒,朝气,愤怒,生机,气愤,活力,活气,负气,起火,怄气
盖世无双	举世无双
染病	抱病,害病,得病,患病,生病
就业	工作
脑满肠肥	大腹便便,红光满面,鸠形鹄面,容光焕发
举目无亲孤芳自赏	孤苦伶仃
驳倒	批驳,驳斥,辩驳
探索	寻找,探求,寻觅,探究,寻求,找寻,探寻,搜求,搜索,摸索,查究,研究,索求
记忆犹新	念念不忘,历历在目,时刻不忘,事过境迁,念兹在兹,耿耿于怀,时过境迁
演练	练习训练,练习,操练
禁忌	忌讳
明白	分明,清楚,通晓,理会,懂得,明确,明了,领悟,大白,了解,晓畅,邃晓,知道,认识打听,明晰,了然,清晰,理解,通达,领会,领略,清楚明明,理解理睬
独身只身	单身
保守	守旧,稳健,顽固,落伍
暂且	临时,暂时,且自,姑且,权且
提单	栈单
搀杂	羼杂,混合,混合结构,掺杂,夹杂,搀和,混杂,驳杂
结构	构造,布局,组织
人人皆知	家喻户晓
扬声恶骂	破口大骂
起风	刮风
结果	结局,效果,后果,成效,最后,成就,结尾,了局,到底,成果,成绩,收场,真相,终局
朱门	望族,名门,大户,权门,豪门
重逢	相逢,再会,相遇,团聚,邂逅
卫兵	警卫,保镳,卫士
纹丝不动	原封不动,维持原状,依样葫芦,一丝不动,岿然不动,文风不动
控告	控诉,指控
腐儒	冬烘
买空卖空	投机取巧
保重	珍摄,珍视,珍惜,珍爱,珍重
铲除	废除,消除,废止,清除,解除,根除,拔除,断根,扫除,破除,革除
千篇一律	一成不变,如出一辙,陈旧见解,千人一面,一模一样,规行矩步,如法泡制,老生常谈,照猫画虎
困心衡虑	苦心焦虑
五湖四海	四面八方,大江南北
文雅	雅致,娴雅,高雅,优雅,大雅,文静,闲雅,斯文,文明
泥首	顼首
滑稽突梯	诙谐百出
竟然	居然,公然
利市	亨通,就手
陈旧布新	兴利除弊
面有菜色	面黄肌瘦
畏敬	敬畏
画虎成犬	刻鹄类鹜
同衾共枕	心心相印,同舟共济
撒野	撒泼
不再任用	永远贬抑
有良心	不忘本
试探	摸索
夺目	精明,瞩目,炫目,刺眼,属目,注目,耀眼,醒目
探听	探问,打探,了解,刺探,打听,探访,探询,密查
丢脸	难看,丢丑,出丑
杳杳无踪	鸿飞冥冥
红鸾照命	吉星高照
俗儒	陋儒
造成的	酿成的
可操左券	稳操胜券
源委	经过,始末,原委
道不拾遗	夜不闭户,路不拾遗
映现	呈现,闪现,显现,浮现,出现,展现,展示,显示,显露,暴露,涌现,露出
弁冕	礼帽
肉搏	搏斗,格斗
公役	衙役,公差,小吏
建设	建立,开发,设置装备摆设,扶植,修筑,兴办,创办,创立,创设,建造,设立
引去	辞职,告退,解职,退职
威信	威望
人山人海	水泄不通,摩肩接踵,三五成群
聊以卒岁	得过且过
偷梁换柱	偷天换日,移花接木,批红判白
积年	历年
从简	节俭,简约
贪生怕死	苟且偷生,奋不顾身
匡时济世	经国济民
收效	成效,成就,奏效,功效,成果,成绩,生效,见效
加之	加上
为国损躯	大公无私
监狱	牢狱,监牢
倒置	颠倒
加剧	加重
捕快	巡警,侦探,巡捕,探员,警员,警察
一呼百诺	一呼百应,前呼后拥
解衣推食	助人为乐
空幻	虚幻
今是昨非	昔不如今,今非昔比
气息奄奄	朝不保夕,人命危浅,岌岌可危,危在旦夕,奄奄一息,朝不虑夕
实情	事实,本相,真相
长空	漫空
丈夫	外子,夫君,汉子,须眉
平淡无奇	平铺直叙,枯燥无味,味同嚼蜡,非驴非马
满腹狐疑	半信半疑
瓜分	平分,支解,割据,分割,分裂,割裂,朋分,肢解
紧张	严重,慌张,焦灼,告急,紧急,重要,仓促
宏大辽阔	广博
脚印行踪	脚迹
培养	培育种植提拔,培育,教育,造就,培植
过矮	太矮
过短	太短
山脊	山岭
春季	春天
幡然	翻然
顺风转舵	见风使舵,见机行事
吉日	谷旦
不足齿数	不足挂齿
消灭净尽	鸡犬不留
越俎代庖	越职代理,包办代替,垂帘听政
律师	讼师,状师
山林隐士	野鹤闲云
合理	正当,公道
暗昧	含糊,暧昧
荒芜	荒凉,荒废,抛荒,疏落,荒疏,萧条,萧疏,芜秽
土音	乡音,土话,土语
黏稠	粘稠
姿首	容貌,姿色
蜉蝣撼树	螳臂挡车
战云浓密	鼙鼓雷鸣
空地空闲	空隙
不辱使命	幸不辱命
无知	愚昧,愚笨,愚蠢,蒙昧
赞同	赞许,赞成,附和,拥护,允诺,同意,答应
墙倒众人推	鼓破万人捶
以夷治夷	以夷制夷
通例	常规,常例,惯例,老例
悲哀	愁闷,悲伤,心酸,哀伤,哀痛,悲恸,衰颓,哀思,悲戚,悲痛,沉痛,沮丧,辛酸,难过,哀悼,不快
技痒	摩拳擦掌
积习难改	积重难返
托辞	饰词,借端,假称,借口,借故,托故,托言,托词,饰辞,遁辞
见谅	宽恕,海涵,包容,谅解,包涵,原宥,原谅,见原
引而不发	枕戈待旦
空洞无物	长篇大论,空空如也
遇上	赶上
盘游	般游
忧郁	忧闷,忧愁,担心,忧伤,忧虑,惆怅,郁闷,难过
叫苦连天	叫苦不迭
绵延	绵亘,蜿蜒,连亘,连绵
刨根问底	寻根究底,刨根究底
求神问卜	求签问卜
伸直	挺直
耸人听闻	危言耸听,骇人听闻
间不容发	一发千钧,岌岌可危,危在旦夕,奄奄一息,危如累卵,千钧一发
守法	遵法
淡薄	淡漠,稀薄
痴人说梦	白日做梦
违禁	犯禁
透骨	刺骨,彻骨,砭骨
郁郁	邑邑
对质	对证
传奇	神话,传说
了得	特出,突出
夕阳	夕照,夕晖,斜阳,落日
言语无味	面目可憎
兵凶战危	佳兵不祥
替身	替人
近些年	近年
异乎寻常	与众不同
错杂	杂乱,庞杂,纷乱,错乱,交加,混乱,紊乱,芜杂,零乱,繁芜
心疼	疼爱
因素	身分,成分,要素
前世怨仇	夙世冤家
协和	协调,和谐,调和
空口说	空谈
迷惘	怅惘,迷惑
存放	寄存,寄放
落叶归根	故土难离
迷惑	疑惑,引诱,蛊惑,利诱,诱惑,迷惘,不解,困惑,眩惑,迷茫
高涨	飞腾,上升,上涨,激昂
冷战	暗斗
抽剥	剥削
守节	守志,持志
老成持重	少年老成,四平八稳
甘之如饴	甘心情愿
蹙迫	急迫,紧急,紧迫,急切
靡烂	腐败
靠得住	信得过,可靠,真实
晓风残月	清灯古佛
赘瘤	肉瘤
逆水行舟	不进则退
太平	宁靖,宁静,承平,平安,安定,安静,稳定,平静,升平,盛世,泰平,安闲,平和,安宁,安好,安祥,安全,安谧
一下子	须臾,转瞬,一忽儿,一会儿
幽邃	幽深
奋不顾身	舍生忘死,粉身碎骨,义无反顾,出生入死,赴汤蹈火,不屈不挠,贪生怕死,一往直前,勇往直前,再接再厉,肝脑涂地
义师	义兵,义军
至关	相当
举手投足	轻而易举
文明	文雅,文化
至公	大公
搞乱	搅散
桀犬吠尧	各为其主
积渐	浸渐
首要	紧要,主要,要紧,重要
战争	交战,战役,交兵,兵戈,战斗,打仗,斗争,交锋,干戈
唇齿相依	休戚相关,势不两立,唇亡齿寒,巢倾卵破,不共戴天,巢毁卵破
色厉内荏	外强中干,虚有其表,鱼质龙文,气壮如牛
叛变	反叛,背叛,变节,哗变,反水
大错特错	大谬不然
漫溢	弥漫,泛滥
讨情	求情,说情
亡命	出亡,流亡,逃亡
魂不守舍	魂不附体,漫不经心,心神不定,心神恍惚,失魂落魄,魂飞天外,心惊胆落,六神无主,无所用心,心不在焉,魂飞魄散,神魂颠倒
上当	受骗,被骗,上圈套
手轻	手重
赴任	就职,上任,到差,履新,接事
不偏不倚	中庸之道,不可偏废
上彀	上网
不外	不过
宓羲	伏羲,庖羲
不够	不足,不敷
不多	未几
饮马投钱	贪污舞弊
全军覆没	旗开得胜,全军尽没
荒诞不经	荒谬绝伦,合情合理
死而复活	死去活来
千克	公斤
寸土不让	寸土必争
被发缨冠	披发散缨
谐谑	戏谑,调笑
雕栏玉砌	雕梁画栋
细目	细则,详情,详目
部分	一面,部门,局部,局限,片面,部份,个别
嫡系	嫡派,直系
摩顶放踵	胼手胝足,不辞辛劳
世伯	父执
欲言又止	半吐半吞
求告	哀告
行状	事迹
在所难免	在劫难逃
财宝	玉帛
迫令	勒令
纨扇	团扇
强横	强暴,横蛮,野蛮,刁悍,厉害,强悍,粗暴,蛮横,霸道
夏天	夏季,炎天
查询拜访	调查
盗怨主人	盗憎主人
投递	送达
周而复始	循环不息,循环往复
若有所失	茫然若失,煞有介事
为渊驱鱼	为丛驱雀
哪种	哪一种,哪类
博采众长	集思广益
以及	和
伯仲叔季	甲乙丙丁
旅客	游客,乘客,搭客
铁嘴钢牙	钉嘴铁舌
皮娇肉嫩	十指尖尖
充任	充当
戮力	勉力,尽力,悉力,竭力,极力,全力
区区	戋戋
短促	刹那,局促,急促,片刻,短暂
鞫问	讯问,过堂,审问
骄阳	烈日,炎阳
不许插嘴	不容置喙
小本经营	小商小贩
鄙陋	猥琐
收缩	压缩,萎缩,减弱,缩短,减少,紧缩,缩小,裁减,屈曲
破例	例外
魂不附体	慌慌张张,心惊胆战,魂不守舍,心惊胆落,丢魂失魄,六神无主,魂飞魄散,魂飞天外,失魂落魄,丧魂落魄
阴谋	企图,狡计,算计,妄图,蓄意,诡计,野心
如胶似漆	水乳交融,胶漆相投,似漆如胶
伟大	壮伟,宏伟,宏壮,宏大,巨大,浩大,远大,雄伟,浩瀚
川流不息	络绎不绝,熙来攘往,纷至沓来,接踵而至,接连不断,车水马龙,接踵而来
暗笑	窃笑
抱负	理想,志愿,心愿,愿望,梦想,志气,志向
蕴涵	包含,包罗,包括
豪情	激情,感情
是以	因此,所以,因而
唯命是从	百依百顺,惟命是从,唯唯诺诺,俯首帖耳,唯命是听,俯首贴耳
宁肯	宁愿,宁可,情愿
查访	察访
霸占	占据,强占,占领,侵夺,并吞,攻陷,侵占,侵吞,攻克
姑息	纵容,放任,放纵,迁就
黯澹	暗淡
词令	辞令
咬文嚼字	字斟句酌,句斟字嚼
听见	闻声
诬害	陷害,构陷,坑害,诬陷,谋害,谗谄
自始至终	始终不渝,从头至尾
晚餐	晚饭
妨碍	妨害,阻碍,阻拦,故障,阻止,阴碍,滞碍,窒碍,阻挠,阻挡,阻滞,障碍
侧丽	侧艳
猪朋狗友	酒肉朋友
远见卓识	真知灼见
产物	产品
安静冷静僻静	平静
变革	厘革,改革,变化,改良,革新,改变
论战	论争
呜咽	啜泣,哭泣,啼哭,抽泣,哽咽
一蹶不振	一败涂地,狼狈不堪,萎靡不振,江河日下,再衰三竭,片甲不留,落花流水,屁滚尿流,土崩瓦解,日暮途穷
抨击	反攻,报复,攻击,冲击,打击,鞭挞
上情	下情
造作	做作,卖弄,矫饰,虚伪
顺便	趁便,趁机
跃跃欲动	见猎心喜
窥探	窥察,侦察,侦查,窥测,窥伺,观察
绍述	继述
过堂	鞫讯,讯问,审问,鞫问
实话实说	打开天窗说亮话
润饰	妆饰,粉饰,修饰,润色
不看僧面看佛面	不看金面看佛面
土豆	洋芋,马铃薯
百页窗	百叶窗
柚子	文旦
模子	模型
笔直	径直,平直,挺直,垂直,笔挺
千姿百态	绰约多姿,千态万状
预定	预订,预约
墨守成规	一成不变,如出一辙,一仍旧贯,故步自封,陈陈相因,抱残守缺,食古不化,因循守旧,按部就班,循规蹈矩
言行一致	坐言起行,心口如一,划一不二,言行相顾,表里如一
刎颈之交	生死之交,义结金兰
哀求	乞求,恳求,哀告,乞请,伏乞,央求,央浼,请求
技能花样	本领
别开生面	独出心裁,别出机杼,标新立异,别出心裁,匠心独运,别具一格,独具匠心,另具匠心
牛骥同皁	泥沙俱下,鱼龙混杂,龙蛇混杂
引颈就戮	束身待罪
轰动	颤动,振动,振撼,震动,哄动,惊动,震撼
风止	风静
抱恨	怀怨,含恨,赍恨,饮恨,怀愁
制止	不准,遏制,禁止,阻止,拦阻,箝制,中止,抑止,克制,压制,抑制,抑遏,遏抑,遏止,阻挠,停止,避免,阻挡,压抑,禁绝
揭穿	揭破,揭露,戳穿,揭发
求签问卜	求神问卜
技艺	本事,本领,武艺,身手,技能,技术,工夫,手艺,技巧
身败名裂	声名狼藉,臭名昭着,名誉扫地,→声名狼藉,声色犬马
失事	出事,误事出事
昂首挺胸	昂首阔步
坚毅不拔	威武不屈
平时	平常,平素,日常平凡,寻常,常日,平日,往常,日常,通常
刷洗	洗擦
高招	高着,高着儿,高作
不近人情	蛮横无理
平旦	黎明,平明
偏畸	偏私
平日	平常,平素,常日,素日,平时,日常,通常
落伍	后进,落后,保守,掉队,过时
串同	通同,串通,勾结
康健	壮健,强壮,矫健,健壮,健康,强健
谙习	谙熟,熟悉,熟谙
无可非议	无可厚非,情有可原,未可厚非
弧线	曲线
求教	就教,请教,讨教,请示,请问,叨教
日曜日	星期日
付与	赋予,授予,给与
进攻	进犯,侵犯,进击,攻击,打击
善自为谋	自作打算
高深莫测	深不可测
科场	考场
刻下	当前,面前目今,眼前,现时
悬崖	危崖,峭壁,绝壁
延年益寿	祛病延年,长生不老,美意延年
力气	气力,力量
蜷曲	蜷缩
坦白	直率,率直,坦率,坦直,坦荡
战火纷飞	炮火连天
飞行	翱翔,航行,飞翔,遨游飞翔,飞舞
形似	相像,好像,彷佛,相仿,相似,类似,近似
听命	用命,遵从,从命,遵命,遵照,服从,听从,屈从,效力,遵循,遵守
粗大	粗壮
荒疏	荒废,怠惰,荒芜,懒散,抛荒,疏弃,疏懒,芜秽
毒手	辣手
原因	缘故,情由,理由,缘故原由,缘由,出处,原故,原由,因为,因由,来因,来源,来由,源由,由来,起因
繁言吝啬	尖酸刻薄
为好	为宜
化为泡影	化为乌有
期限	克日,刻日,限期,刻期
可见一斑	管窥一斑,窥豹一斑
简略	大意,扼要,约略,概略,简单,大概,简捷,大略,省略,简明,简易,简洁,简短,粗略,节略
体贴入微	关怀备至,无微不至
擎天撼地	震天撼地
选录	节录
隔靴搔痒	不得要领
凶犯	凶手
通宵	彻夜
歌咏	颂扬,歌唱,传颂,歌颂,称赞,讴歌,赞扬,赞美,赞颂
巢倾卵破	休戚相关,唇齿相依,唇亡齿寒
宴尔新婚	洞房花烛
源泉	泉源
退化	退步
肝脑涂地	粉身碎骨,出生入死,赴汤蹈火,奋不顾身,粉身碎骨奋不顾身
木鸡之呆	目瞪口呆
室第	住所,住宅,居处
开罪	得罪,冒犯,获罪,触犯
嘴软	嘴硬
照耀	晖映,映照,照射
克制	压迫,禁止,箝制,遏抑,制止,克服,压制,压抑,抑遏,抑制,胁制
鹤立鸡群	佼佼不群,卓尔不群,出类拔萃,出人头地,超群绝伦
生病	抱病,害病,染病,得病,患病
测量	丈量,勘测
烹调	烹饪
条则	条文
衔冤	含冤
瓜田李下	瓜李之嫌
矗立	直立,卓立,耸立,挺立,耸峙,屹立,岳立,挺拔,高耸
摩登	入时,时兴,时髦,现代,漂亮
神彩	神采
春华秋实	开花结果
难舍难分	藕断丝连
群情	舆论,舆情,议论
灯胆	灯泡
春色满园	万紫千红,春意盎然
变态	反常,失常
今日	本日
春秋	年龄
勇敢	勇猛,英勇,大胆,无畏,果敢
以其人之道；还治其人之身	将计就计
合股	合资,合伙
脚门	角门
变通	灵活
置之不理	置若罔闻,束之高阁,充耳不闻,置之度外,漠然置之,置之不顾,无人问津
兴办	建立,开发,创办,创设,创造,建设,创立,建造,开办,成立
讨帐	讨债
抢手	热门,畅销,热销
放心	定心,释怀,安定,安心,宽心,宁神
角楼	谯楼
风号浪吼	风高浪急
挺秀	挺拔
下跌	下落
亲友	亲朋
羞耻	侮辱,可耻,耻辱,羞辱
四周	附近,周遭,边缘,周围,方圆,四处,四面,边际,角落
考中	及第,录取,登科
胆大心细	胆大心小
魔法	邪法,妖术,邪术
发愁	烦恼,忧愁
叨在知己	忝在爱末
行同狗彘	人面兽心,不堪入目,衣冠禽兽
心肝宝贝	掌上明珠
英气	豪气
家畜	牲畜,六畜
发愤	努力,发奋,勤劳,勤勉,勤奋,勤苦,奋发,立志
发愣	发楞,发呆
毁家纾难	大公无私,廉洁奉公
手下	辖下,部下,属员,属下,下属,部属
间隔	隔离,断绝,距离,隔断,阻隔
工力悉敌	半斤八两,势均力敌,旗鼓相当,各有千秋,平分秋色
勾搭	串通,勾串,勾引,勾结,巴结
蓬荜	蓬门
时不可失	机不可失
详情度理	揆情度理
社交	酬酢,交际,外交,应酬
迁就	妥协,将就,姑息,牵就
爆发	迸发,产生,发作,暴发
海不扬波	风平浪静
前途似锦	鹏程万里
光溜溜	光秃秃
人品	人格,品德,品行
气壮如牛	色厉内荏
浩大	伟大,宏大,巨大,庞大,浩瀚,浩荡,盛大
博识	渊博,广博,精深,深广
管教	管束
巡查	巡察,察看,巡哨,巡缉,巡视,巡逻,放哨,梭巡
减少	减轻,缩短,收缩,减削,削减,缩小,节略,裁减,裁汰,淘汰
弃瑕取用	弃瑕录用
回来	归来,返来
九月	玄月
秀美	俊美,秀气,瑰丽,俊俏,美丽,绚丽,奇丽,清秀,秀丽,秀雅,艳丽,富丽
用心	专注,经心,卖力,精心,尽心,居心,专心,仔细,潜心,细致,认真,细心,埋头
应酬	寒暄,社交,交际,外交,应付,酬酢
归纳	总结,概括,归结,综合
清剿	剿灭,剿除,围剿
聪明一世	胡涂一时,聪明一世胡涂一时,懵懂一时,聪明一世，懵懂一时,聪明一世懵懂一时,聪明一世，胡涂一时
也可以	也能够
补台	拆台
牵就	迁就
嫡妻	发妻
水手	船员,舵手,海员,船夫
闲云野鹤	自得其乐,袒自若,悠闲自在,悠然自得,洋洋自得
坦然	安心,安然
弹尽粮绝	弹尽援绝
生意盎然	生机勃勃,生气勃勃,郁郁葱葱,朝气蓬勃
不能自制	不能自已
仓库	货仓,栈房,堆栈
考取	录取
更甚	愈甚
不时之须	不时之需
囹圄	囹圉
贪念	贪婪
偷安	苟安
囹圉	囹圄
倒退	退缩,退步,落后,退却,退让
振兴	复兴,兴盛,崛起
铁案如山	铁证如山
船夫	舟子,梢公,舵手,水手
订正	更改,校正,矫正,改正,纠正,更正,改进,修订,校阅,修正,勘误,厘正,校勘,校对,校订,考订
万分	特别,十分,极度,极端,至极,非常
灾年	荒年,凶年,歉岁,歉年
昏花	晦暗,模糊
终局	结局,结尾,结果,了局,收场,末端
贪心	贪婪
信守	恪守
治国安邦	治国安民
脱逃	逃走,逃脱
怂恿	鼓动,唆使,煽动,煽惑,策动,纵容,荧惑
漂亮	标致,美丽,英俊,优美,摩登,大度,时兴
丛集	猬集
横行无忌	横冲直撞,为所欲为,横行霸道
糊涂	迷糊,懵懂,胡涂
暖洋洋	热乎乎
义结金兰	刎颈之交
不相为谋	各行其是
智力	才智,才干,才气,才能,材干,才略,才具
突出	了得,特别,凸起,出色,卓绝,优秀,卓越,杰出,特出,非常,高出
红颜	朱颜
项背相望	肩摩踵接
大富	豪富
喝倒采	喝倒彩
这里	这边
齐整	划一,一律,整齐,齐截
木柴	木料,木材
包涵	海涵,包容,谅解,饶恕,见谅,原宥,原谅,宽恕,见原,留情
先人后己	舍己为人
相映生辉	相映成趣
年迈	苍老,年老
量度	衡量,权衡
欢迎	迎接,接待
僵持	对峙,相持,争持
另日	异日,改日,他日
甲由	蟑螂
四季	四时,四序
外侨	侨民
愁眉锁眼	怒气冲冲,愁眉不展,愁眉苦脸
母老虎	母大虫
孜孜	孳孳
祖籍	本籍,原籍
公牍	公函,公文,文移
荒僻	偏僻,僻静,冷僻,冷落,生僻
惊诧	诧异,惊讶,愕然,惊奇,吃惊,惊异,惊愕,讶异,骇怪
勒迫	威胁,胁迫,威迫,威逼
主持	主办,主理,掌管
更易	更容易
雄壮	强壮,壮丽,雄伟,健壮,壮伟,宏伟,宏壮,宏大,富丽,广大,强悍,雄健,雄浑,高大,粗壮
安身立命	安居乐业
伺候	侍奉,侍候,奉侍,奉养,服侍
饕餮	贪馋,馋嘴,贪吃
兴味	乐趣,兴会,兴致,兴趣,有趣,趣味
一叶知秋	尝鼎一,尝鼎一脔,见微知着
孕珠	怀胎,怀孕
成功	得胜,胜利,凯旋,告成,告捷,获胜,乐成
威风凛凛	八面威风,气势汹汹,气势
劫富济贫	除暴安良
亡故	去世,归天,物化,牺牲,逝世,作古,死亡,弃世,毕命,丧生,仙逝,升天,去逝,断命,殒命,陨命,死灭
情义	情谊,交谊,交情,友谊,情意
心里有数	冷暖自知
说一不二	一言为定,说一是一,一诺千金,金口玉牙,划一不二
沧海微尘	太仓一粟
生气希望	生机
老到	老练,熟习,老成,干练,熟练
活捉	生擒
公道	公正,平允,合理,公允,公平,平正
将功折罪	将功补过
缚鸡之力	绵力薄材
切齿腐心	深恶痛绝,切齿痛恨
等同	同等
八方受敌	四面楚歌
渺视	看不起,蔑视,傲睨,无视
黔黎	黔首
详尽	精细,具体,详实,周详,仔细,周密,细致,详明,详细
灾地	灾区
侵害	进犯,侵犯,陵犯,伤害,侵凌,侵吞,侵扰,侵略,加害,损害,摧残
指斥	攻讦,指责,申斥,斥责,批评,指谪,谴责,责备,指摘
乐孜孜	乐滋滋
冥冥	溟溟
押韵	压韵
重振旗鼓	卷土重来,大张旗鼓,死灰复燃,东山再起
含辛茹苦	历尽艰辛,坚苦卓绝,千辛万苦,披荆斩棘
本子	簿子,簿本
狡徒	滑头
相遇	邂逅,相逢,再会,重逢
掺和	搀和
自取其祸	咎由自取,自作自受,作茧自缚,作法自毙
老牛舐犊	乌鸟私情,舐犊情深,慈乌反哺
举座	全体,满堂
场面地步	局势
凛冽	凛凛,寒冷
饰物	首饰,金饰
疆域	边境,领土,国土,幅员,版图,疆土,邦畿,国界
贪官蠹役	贪官污吏
权门	朱门,大户,豪门
勤奋	辛勤,用功,奋勉,辛劳,努力,发奋,发愤,勤劳,勤勉,勤恳,勤苦,奋发
收获颇丰	受益匪浅
